time	V(ina)	V(out_y)	V(sel)	V(selb)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000000000000e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.019112500898475e-10	0.000000e+00	8.349821e-03	0.000000e+00	9.556250e-02
5.057337502695424e-10	0.000000e+00	2.585941e-02	0.000000e+00	2.866875e-01
5.133787506289323e-10	0.000000e+00	6.506472e-02	0.000000e+00	6.689375e-01
5.286687513477119e-10	0.000000e+00	1.559535e-01	0.000000e+00	1.433438e+00
5.592487527852713e-10	0.000000e+00	3.453912e-01	0.000000e+00	2.962438e+00
5.898684107624036e-10	0.000000e+00	5.411977e-01	0.000000e+00	4.493421e+00
6.000000000000000e-10	0.000000e+00	6.070909e-01	0.000000e+00	5.000000e+00
6.010131589237596e-10	0.000000e+00	6.072674e-01	0.000000e+00	5.000000e+00
6.030394767712789e-10	0.000000e+00	6.072773e-01	0.000000e+00	5.000000e+00
6.070921124663175e-10	0.000000e+00	6.072678e-01	0.000000e+00	5.000000e+00
6.151973838563946e-10	0.000000e+00	6.072772e-01	0.000000e+00	5.000000e+00
6.314079266365489e-10	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
6.638290121968574e-10	0.000000e+00	6.072771e-01	0.000000e+00	5.000000e+00
7.028915121968574e-10	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
7.419540121968575e-10	0.000000e+00	6.072770e-01	0.000000e+00	5.000000e+00
7.810165121968575e-10	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
8.200790121968576e-10	0.000000e+00	6.072770e-01	0.000000e+00	5.000000e+00
8.591415121968576e-10	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
8.982040121968576e-10	0.000000e+00	6.072770e-01	0.000000e+00	5.000000e+00
9.372665121968577e-10	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
9.763290121968577e-10	0.000000e+00	6.072769e-01	0.000000e+00	5.000000e+00
1.015391512196858e-09	0.000000e+00	6.072679e-01	0.000000e+00	5.000000e+00
1.054454012196858e-09	0.000000e+00	6.072769e-01	0.000000e+00	5.000000e+00
1.093516512196858e-09	0.000000e+00	6.072680e-01	0.000000e+00	5.000000e+00
1.132579012196858e-09	0.000000e+00	6.072769e-01	0.000000e+00	5.000000e+00
1.171641512196858e-09	0.000000e+00	6.072680e-01	0.000000e+00	5.000000e+00
1.210704012196858e-09	0.000000e+00	6.072768e-01	0.000000e+00	5.000000e+00
1.249766512196858e-09	0.000000e+00	6.072680e-01	0.000000e+00	5.000000e+00
1.288829012196858e-09	0.000000e+00	6.072767e-01	0.000000e+00	5.000000e+00
1.327891512196858e-09	0.000000e+00	6.072680e-01	0.000000e+00	5.000000e+00
1.366954012196858e-09	0.000000e+00	6.072767e-01	0.000000e+00	5.000000e+00
