time	V(vdd)*Ix(xinv_20_1@0:vdd)
0.000000000000000e+00	2.509405e-11
5.000000000000000e-10	2.509963e-11
5.019112500898475e-10	-6.119783e-04
5.057337502695424e-10	-7.820164e-04
5.133787506289323e-10	-7.233457e-04
5.286687513477119e-10	-8.380080e-04
5.499141230094621e-10	-5.391597e-04
5.714821263586777e-10	-4.132047e-04
5.940035174573149e-10	-2.030359e-04
6.000000000000000e-10	-3.138470e-04
6.005996482542685e-10	1.503076e-04
6.017989447628055e-10	3.764618e-04
6.041975377798795e-10	2.305049e-04
6.089947238140276e-10	3.279743e-04
6.185890958823237e-10	1.867930e-04
6.377778400189160e-10	2.708821e-04
6.668862027642455e-10	1.401675e-04
7.059487027642455e-10	2.205305e-04
7.450112027642456e-10	9.701439e-05
7.840737027642456e-10	1.661064e-04
8.231362027642456e-10	4.943951e-05
8.538814822612764e-10	1.267839e-04
8.888344743384707e-10	5.041676e-05
9.229190825525924e-10	9.724176e-05
9.619815825525923e-10	1.807732e-05
1.001044082552592e-09	6.128559e-05
1.040106582552592e-09	-8.807907e-06
1.079169082552592e-09	4.143883e-05
1.118231582552592e-09	-1.960710e-05
1.157294082552593e-09	3.255002e-05
1.196356582552593e-09	-2.339073e-05
1.235419082552593e-09	2.828978e-05
1.274481582552593e-09	-2.428859e-05
1.313544082552593e-09	2.594591e-05
1.352606582552593e-09	-2.403442e-05
1.391669082552593e-09	2.440176e-05
1.430731582552593e-09	-2.334170e-05
1.469794082552593e-09	2.320273e-05
1.508856582552593e-09	-2.249612e-05
1.547919082552593e-09	2.216505e-05
1.586981582552593e-09	-2.161171e-05
1.626044082552593e-09	2.121471e-05
1.665106582552593e-09	-2.073342e-05
1.704169082552593e-09	2.032021e-05
1.743231582552593e-09	-1.987841e-05
1.782294082552593e-09	1.946891e-05
1.821356582552593e-09	-1.905358e-05
1.860419082552593e-09	1.865508e-05
1.899481582552593e-09	-1.825935e-05
1.938544082552593e-09	1.787506e-05
1.977606582552593e-09	-1.749632e-05
2.016669082552593e-09	1.712673e-05
2.055731582552593e-09	-1.676364e-05
2.094794082552593e-09	1.640860e-05
2.133856582552593e-09	-1.606027e-05
2.172919082552593e-09	1.571940e-05
2.211981582552593e-09	-1.538515e-05
2.251044082552593e-09	1.505796e-05
2.290106582552593e-09	-1.473722e-05
2.329169082552594e-09	1.442321e-05
2.368231582552594e-09	-1.411543e-05
2.407294082552594e-09	1.381411e-05
2.446356582552594e-09	-1.351878e-05
2.485419082552594e-09	1.322967e-05
2.524481582552594e-09	-1.294632e-05
2.563544082552594e-09	1.266894e-05
2.602606582552594e-09	-1.239710e-05
2.641669082552594e-09	1.213101e-05
2.680731582552594e-09	-1.187023e-05
2.719794082552594e-09	1.161499e-05
2.758856582552594e-09	-1.136485e-05
2.797919082552594e-09	1.112003e-05
2.836981582552594e-09	-1.088012e-05
2.876044082552594e-09	1.064533e-05
2.915106582552594e-09	-1.041525e-05
2.954169082552594e-09	1.019009e-05
2.993231582552594e-09	-9.969458e-06
3.032294082552594e-09	9.753563e-06
3.071356582552594e-09	-9.542014e-06
3.110419082552594e-09	9.335022e-06
3.149481582552594e-09	-9.132202e-06
3.188544082552594e-09	8.933766e-06
3.227606582552594e-09	-8.739335e-06
3.266669082552594e-09	8.549122e-06
3.305731582552595e-09	-8.362753e-06
3.344794082552595e-09	8.180442e-06
3.383856582552595e-09	-8.001820e-06
3.422919082552595e-09	7.827103e-06
3.461981582552595e-09	-7.655926e-06
3.501044082552595e-09	7.488505e-06
3.540106582552595e-09	-7.324481e-06
3.579169082552595e-09	7.164072e-06
3.618231582552595e-09	-7.006921e-06
