time	V(vin)	V(vout)
4.008856582552592e-09	5.000000e+00	4.561573e-05
4.047919082552592e-09	5.000000e+00	-4.053572e-05
4.086981582552592e-09	5.000000e+00	4.423355e-05
4.126044082552591e-09	5.000000e+00	-3.930579e-05
4.165106582552591e-09	5.000000e+00	4.289219e-05
4.204169082552590e-09	5.000000e+00	-3.811219e-05
4.243231582552590e-09	5.000000e+00	4.159043e-05
4.282294082552590e-09	5.000000e+00	-3.695384e-05
4.321356582552589e-09	5.000000e+00	4.032711e-05
4.360419082552589e-09	5.000000e+00	-3.582970e-05
4.399481582552589e-09	5.000000e+00	3.910108e-05
4.438544082552588e-09	5.000000e+00	-3.473875e-05
4.477606582552588e-09	5.000000e+00	3.791125e-05
4.516669082552587e-09	5.000000e+00	-3.368001e-05
4.555731582552587e-09	5.000000e+00	3.675653e-05
4.594794082552587e-09	5.000000e+00	-3.265253e-05
4.633856582552586e-09	5.000000e+00	3.563591e-05
4.672919082552586e-09	5.000000e+00	-3.165538e-05
4.711981582552586e-09	5.000000e+00	3.454836e-05
4.751044082552585e-09	5.000000e+00	-3.068767e-05
4.790106582552585e-09	5.000000e+00	3.349291e-05
4.829169082552584e-09	5.000000e+00	-2.974852e-05
4.868231582552584e-09	5.000000e+00	3.246862e-05
4.907294082552584e-09	5.000000e+00	-2.883710e-05
4.946356582552583e-09	5.000000e+00	3.147455e-05
4.985419082552583e-09	5.000000e+00	-2.795258e-05
5.024481582552583e-09	5.000000e+00	3.050983e-05
5.063544082552582e-09	5.000000e+00	-2.709418e-05
5.102606582552582e-09	5.000000e+00	2.957358e-05
5.141669082552581e-09	5.000000e+00	-2.626111e-05
5.180731582552581e-09	5.000000e+00	2.866496e-05
5.219794082552581e-09	5.000000e+00	-2.545263e-05
5.258856582552580e-09	5.000000e+00	2.778316e-05
5.297919082552580e-09	5.000000e+00	-2.466802e-05
5.336981582552580e-09	5.000000e+00	2.692740e-05
5.376044082552579e-09	5.000000e+00	-2.390656e-05
5.415106582552579e-09	5.000000e+00	2.609689e-05
5.454169082552578e-09	5.000000e+00	-2.316759e-05
5.493231582552578e-09	5.000000e+00	2.529089e-05
5.532294082552578e-09	5.000000e+00	-2.245044e-05
5.571356582552577e-09	5.000000e+00	2.450870e-05
5.610419082552577e-09	5.000000e+00	-2.175446e-05
5.649481582552577e-09	5.000000e+00	2.374959e-05
5.688544082552576e-09	5.000000e+00	-2.107902e-05
5.727606582552576e-09	5.000000e+00	2.301290e-05
5.750000000000000e-09	5.000000e+00	-2.009416e-05
5.752239341744743e-09	4.888033e+00	-4.449858e-03
5.756718025234228e-09	4.664099e+00	-1.322203e-02
5.765675392213197e-09	4.216230e+00	-3.032525e-02
5.783590126171137e-09	3.320494e+00	-2.740823e-02
5.801711608914066e-09	2.414420e+00	6.691740e-02
5.820784182650991e-09	1.460791e+00	2.749694e-01
