time	V(clk)	V(clkb)	V(ind)	V(outq)
0.000000000000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	2.732717e+00
3.906249931451836e-16	1.953125e-05	4.999980e+00	0.000000e+00	2.732717e+00
3.906249931451838e-15	1.953125e-04	4.999805e+00	0.000000e+00	2.732717e+00
7.421874869758492e-15	3.710937e-04	4.999629e+00	0.000000e+00	2.732717e+00
1.093749980806514e-14	5.468750e-04	4.999453e+00	0.000000e+00	2.732717e+00
1.445312474637180e-14	7.226562e-04	4.999277e+00	0.000000e+00	2.732717e+00
1.796874968467845e-14	8.984375e-04	4.999102e+00	0.000000e+00	2.732717e+00
2.148437462298510e-14	1.074219e-03	4.998926e+00	0.000000e+00	2.732717e+00
2.499999956129175e-14	1.250000e-03	4.998750e+00	0.000000e+00	2.732717e+00
4.999999912258350e-14	2.500000e-03	4.997500e+00	0.000000e+00	2.732717e+00
9.999999824516700e-14	5.000000e-03	4.995000e+00	0.000000e+00	2.732716e+00
1.999999964903340e-13	1.000000e-02	4.990000e+00	0.000000e+00	2.732714e+00
3.999999929806680e-13	2.000000e-02	4.980000e+00	0.000000e+00	2.732710e+00
7.999999859613360e-13	4.000000e-02	4.960000e+00	0.000000e+00	2.732701e+00
1.599999971922672e-12	8.000000e-02	4.920000e+00	0.000000e+00	2.732687e+00
3.199999943845344e-12	1.600000e-01	4.840000e+00	0.000000e+00	2.732669e+00
6.399999887690688e-12	3.200000e-01	4.680000e+00	0.000000e+00	2.732667e+00
1.279999977538138e-11	6.400000e-01	4.360000e+00	0.000000e+00	2.732793e+00
2.559999955076275e-11	1.280000e+00	3.720000e+00	0.000000e+00	2.733566e+00
4.374164089624539e-11	2.187082e+00	2.812918e+00	0.000000e+00	2.731359e+00
6.337010041239930e-11	3.168505e+00	1.831495e+00	0.000000e+00	2.698874e+00
8.385690350324966e-11	4.192845e+00	8.071548e-01	0.000000e+00	2.602860e+00
1.000000000000000e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.466098e+00
1.016143096496751e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.448511e+00
1.048429289490251e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.411826e+00
1.113001675477253e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.330062e+00
1.242146447451255e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.139721e+00
1.500435991399261e-10	5.000000e+00	0.000000e+00	0.000000e+00	1.691037e+00
1.837293483294528e-10	5.000000e+00	0.000000e+00	0.000000e+00	1.090540e+00
2.161764209649088e-10	5.000000e+00	0.000000e+00	0.000000e+00	6.302160e-01
2.514839214382869e-10	5.000000e+00	0.000000e+00	0.000000e+00	3.104530e-01
2.905464214382869e-10	5.000000e+00	0.000000e+00	0.000000e+00	1.308063e-01
3.296089214382869e-10	5.000000e+00	0.000000e+00	0.000000e+00	5.563495e-02
3.686714214382869e-10	5.000000e+00	0.000000e+00	0.000000e+00	2.561127e-02
4.077339214382868e-10	5.000000e+00	0.000000e+00	0.000000e+00	1.323520e-02
4.467964214382868e-10	5.000000e+00	0.000000e+00	0.000000e+00	7.775643e-03
4.858589214382868e-10	5.000000e+00	0.000000e+00	0.000000e+00	5.028339e-03
